domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max
sim,1.5740530490875244,0.2483424842357635,0.6509854197502136,0.2514081299304962,1.0503199100494385,1.1037724018096924,
sim,1.291301727294922,0.3902309834957123,0.645075798034668,0.2509857714176178,0.9885379076004028,1.2603167295455933,
sim,1.0732263326644895,0.2057202607393264,0.6449242234230042,0.2460671216249466,1.0397584438323977,1.1368635892868042,
sim,1.3441171646118164,0.480520486831665,0.6482693552970886,0.2454854846000671,1.053046464920044,1.238481044769287,
sim,1.3560593128204346,0.6146090626716614,0.6567868590354919,0.2436052113771438,1.0374677181243896,1.4543122053146362,
sim,1.1611467599868774,0.6388833522796631,0.6627084016799927,0.2434246987104416,1.0758918523788452,1.3189411163330078,
sim,1.4802013635635376,0.5233590602874756,0.652647078037262,0.2397128641605377,1.143665432929993,1.2757301330566406,
sim,1.2395786046981812,0.5966333150863647,0.6639828681945801,0.2354505956172943,0.9305513501167296,1.4317915439605713,
sim,1.578017234802246,0.4172687530517578,0.6655976176261902,0.2313439548015594,1.0319006443023682,1.117847204208374,
sim,1.3633073568344116,0.2777735292911529,0.6403999328613281,0.2307458221912384,1.1591366529464722,1.2810773849487305,
