[log] tee initialized at 2025-11-05 01:28:55 -> temp_Bidi_cvae\cvae_20251105-012855\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 060 | Train Total=0.3299 | Val post/prior Total=0.7336/0.7789, Recon post/prior=0.6489/0.6444, KL=0.0219, CycSim post/prior=0.0656/0.0422, CycMeas=0.1005, PriorBnd post/prior=3.53e-04/5.98e-05 | Best 0.0973 | Patience 2/40
 >> Epoch 061 | Train Total=0.3328 | Val post/prior Total=0.7311/0.7777, Recon post/prior=0.6485/0.6451, KL=0.0205, CycSim post/prior=0.0642/0.0422, CycMeas=0.0981, PriorBnd post/prior=2.09e-04/6.20e-05 | Best 0.0973 | Patience 3/40
 >> Epoch 062 | Train Total=0.3311 | Val post/prior Total=0.7387/0.7827, Recon post/prior=0.6501/0.6460, KL=0.0222, CycSim post/prior=0.0688/0.0458, CycMeas=0.0978, PriorBnd post/prior=3.92e-04/6.22e-05 | Best 0.0973 | Patience 4/40
 >> Epoch 063 | Train Total=0.3312 | Val post/prior Total=0.7320/0.7760, Recon post/prior=0.6480/0.6437, KL=0.0213, CycSim post/prior=0.0652/0.0414, CycMeas=0.0988, PriorBnd post/prior=3.16e-04/6.04e-05 | Best 0.0973 | Patience 5/40
 >> Epoch 064 | Train Total=0.3323 | Val post/prior Total=0.7288/0.7710, Recon post/prior=0.6455/0.6413, KL=0.0211, CycSim post/prior=0.0646/0.0394, CycMeas=0.0985, PriorBnd post/prior=2.46e-04/6.60e-05 | Best 0.0973 | Patience 6/40
 >> Epoch 065 | Train Total=0.3347 | Val post/prior Total=0.7325/0.7777, Recon post/prior=0.6476/0.6433, KL=0.0225, CycSim post/prior=0.0659/0.0422, CycMeas=0.1002, PriorBnd post/prior=2.70e-04/6.40e-05 | Best 0.0973 | Patience 7/40
 >> Epoch 066 | Train Total=0.3329 | Val post/prior Total=0.7314/0.7746, Recon post/prior=0.6472/0.6429, KL=0.0206, CycSim post/prior=0.0656/0.0414, CycMeas=0.0980, PriorBnd post/prior=2.51e-04/6.43e-05 | Best 0.0973 | Patience 8/40
 >> Epoch 067 | Train Total=0.3339 | Val post/prior Total=0.7404/0.7860, Recon post/prior=0.6495/0.6461, KL=0.0213, CycSim post/prior=0.0712/0.0485, CycMeas=0.0979, PriorBnd post/prior=1.17e-04/6.35e-05 | Best 0.0973 | Patience 9/40
 >> Epoch 068 | Train Total=0.3356 | Val post/prior Total=0.7341/0.7813, Recon post/prior=0.6487/0.6449, KL=0.0191, CycSim post/prior=0.0667/0.0454, CycMeas=0.0981, PriorBnd post/prior=2.48e-04/5.84e-05 | Best 0.0973 | Patience 10/40
 >> Epoch 069 | Train Total=0.3363 | Val post/prior Total=0.7322/0.7726, Recon post/prior=0.6457/0.6409, KL=0.0209, CycSim post/prior=0.0673/0.0413, CycMeas=0.0982, PriorBnd post/prior=2.64e-04/6.70e-05 | Best 0.0973 | Patience 11/40
 >> Epoch 070 | Train Total=0.3369 | Val post/prior Total=0.7300/0.7756, Recon post/prior=0.6460/0.6422, KL=0.0209, CycSim post/prior=0.0654/0.0416, CycMeas=0.0999, PriorBnd post/prior=1.54e-04/6.29e-05 | Best 0.0973 | Patience 12/40
 >> Epoch 071 | Train Total=0.3368 | Val post/prior Total=0.7357/0.7734, Recon post/prior=0.6463/0.6402, KL=0.0205, CycSim post/prior=0.0688/0.0422, CycMeas=0.0987, PriorBnd post/prior=6.09e-04/7.30e-05 | Best 0.0973 | Patience 13/40
 >> Epoch 072 | Train Total=0.3372 | Val post/prior Total=0.7290/0.7699, Recon post/prior=0.6436/0.6386, KL=0.0209, CycSim post/prior=0.0663/0.0403, CycMeas=0.0992, PriorBnd post/prior=3.50e-04/6.87e-05 | Best 0.0973 | Patience 14/40
 >> Epoch 073 | Train Total=0.3386 | Val post/prior Total=0.7297/0.7722, Recon post/prior=0.6455/0.6411, KL=0.0191, CycSim post/prior=0.0656/0.0411, CycMeas=0.0978, PriorBnd post/prior=2.45e-04/6.34e-05 | Best 0.0973 | Patience 15/40
 >> Epoch 074 | Train Total=0.3401 | Val post/prior Total=0.7299/0.7743, Recon post/prior=0.6455/0.6416, KL=0.0193, CycSim post/prior=0.0658/0.0420, CycMeas=0.0985, PriorBnd post/prior=1.89e-04/6.64e-05 | Best 0.0973 | Patience 16/40
 >> Epoch 075 | Train Total=0.3398 | Val post/prior Total=0.7317/0.7736, Recon post/prior=0.6470/0.6424, KL=0.0215, CycSim post/prior=0.0657/0.0413, CycMeas=0.0977, PriorBnd post/prior=3.63e-04/6.05e-05 | Best 0.0973 | Patience 17/40
 >> Epoch 076 | Train Total=0.3402 | Val post/prior Total=0.7293/0.7696, Recon post/prior=0.6442/0.6390, KL=0.0222, CycSim post/prior=0.0656/0.0395, CycMeas=0.0994, PriorBnd post/prior=5.26e-04/7.17e-05 | Best 0.0973 | Patience 18/40
 >> Epoch 077 | Train Total=0.3409 | Val post/prior Total=0.7865/0.8428, Recon post/prior=0.6649/0.6625, KL=0.0349, CycSim post/prior=0.0960/0.0793, CycMeas=0.1028, PriorBnd post/prior=2.31e-04/5.85e-05 | Best 0.0973 | Patience 19/40
 >> Epoch 078 | Train Total=0.3416 | Val post/prior Total=0.7560/0.8076, Recon post/prior=0.6556/0.6527, KL=0.0244, CycSim post/prior=0.0789/0.0607, CycMeas=0.0986, PriorBnd post/prior=2.36e-04/5.24e-05 | Best 0.0973 | Patience 20/40
 >> Epoch 079 | Train Total=0.3438 | Val post/prior Total=0.7326/0.7788, Recon post/prior=0.6462/0.6426, KL=0.0191, CycSim post/prior=0.0676/0.0453, CycMeas=0.0980, PriorBnd post/prior=1.47e-04/5.76e-05 | Best 0.0973 | Patience 21/40
 >> Epoch 080 | Train Total=0.3441 | Val post/prior Total=0.7291/0.7711, Recon post/prior=0.6443/0.6402, KL=0.0202, CycSim post/prior=0.0660/0.0406, CycMeas=0.0982, PriorBnd post/prior=1.61e-04/6.70e-05 | Best 0.0973 | Patience 22/40
 >> Epoch 081 | Train Total=0.3452 | Val post/prior Total=0.7320/0.7698, Recon post/prior=0.6443/0.6379, KL=0.0219, CycSim post/prior=0.0671/0.0398, CycMeas=0.1005, PriorBnd post/prior=8.24e-04/7.09e-05 | Best 0.0973 | Patience 23/40
 >> Epoch 082 | Train Total=0.3454 | Val post/prior Total=0.8057/0.8708, Recon post/prior=0.6734/0.6722, KL=0.0412, CycSim post/prior=0.1046/0.0907, CycMeas=0.1089, PriorBnd post/prior=9.24e-05/5.91e-05 | Best 0.0973 | Patience 24/40
 >> Epoch 083 | Train Total=0.3468 | Val post/prior Total=0.7393/0.7884, Recon post/prior=0.6498/0.6466, KL=0.0181, CycSim post/prior=0.0703/0.0496, CycMeas=0.0986, PriorBnd post/prior=2.15e-04/5.69e-05 | Best 0.0973 | Patience 25/40
 >> Epoch 084 | Train Total=0.3468 | Val post/prior Total=0.7270/0.7731, Recon post/prior=0.6453/0.6412, KL=0.0199, CycSim post/prior=0.0631/0.0417, CycMeas=0.0977, PriorBnd post/prior=3.35e-04/5.94e-05 | Best 0.0973 | Patience 26/40
 >> Epoch 085 | Train Total=0.3483 | Val post/prior Total=0.7286/0.7720, Recon post/prior=0.6439/0.6396, KL=0.0212, CycSim post/prior=0.0658/0.0415, CycMeas=0.0988, PriorBnd post/prior=2.18e-04/6.36e-05 | Best 0.0973 | Patience 27/40
 >> Epoch 086 | Train Total=0.3493 | Val post/prior Total=0.7288/0.7717, Recon post/prior=0.6445/0.6398, KL=0.0201, CycSim post/prior=0.0652/0.0400, CycMeas=0.1003, PriorBnd post/prior=4.56e-04/6.64e-05 | Best 0.0973 | Patience 28/40
 >> Epoch 087 | Train Total=0.3497 | Val post/prior Total=0.7303/0.7721, Recon post/prior=0.6429/0.6387, KL=0.0203, CycSim post/prior=0.0682/0.0429, CycMeas=0.0978, PriorBnd post/prior=1.00e-04/6.62e-05 | Best 0.0973 | Patience 29/40
 >> Epoch 088 | Train Total=0.3508 | Val post/prior Total=0.7352/0.7712, Recon post/prior=0.6430/0.6371, KL=0.0215, CycSim post/prior=0.0712/0.0413, CycMeas=0.1009, PriorBnd post/prior=5.56e-04/7.65e-05 | Best 0.0973 | Patience 30/40
 >> Epoch 089 | Train Total=0.3517 | Val post/prior Total=0.7345/0.7792, Recon post/prior=0.6464/0.6422, KL=0.0203, CycSim post/prior=0.0687/0.0455, CycMeas=0.0987, PriorBnd post/prior=3.37e-04/6.31e-05 | Best 0.0973 | Patience 31/40
 >> Epoch 090 | Train Total=0.3535 | Val post/prior Total=0.7291/0.7720, Recon post/prior=0.6446/0.6403, KL=0.0207, CycSim post/prior=0.0656/0.0416, CycMeas=0.0977, PriorBnd post/prior=3.08e-04/6.30e-05 | Best 0.0973 | Patience 32/40
 >> Epoch 091 | Train Total=0.3528 | Val post/prior Total=0.7578/0.8122, Recon post/prior=0.6551/0.6525, KL=0.0189, CycSim post/prior=0.0814/0.0642, CycMeas=0.0993, PriorBnd post/prior=2.12e-04/4.55e-05 | Best 0.0973 | Patience 33/40
 >> Epoch 092 | Train Total=0.3518 | Val post/prior Total=0.7367/0.7787, Recon post/prior=0.6451/0.6410, KL=0.0229, CycSim post/prior=0.0715/0.0456, CycMeas=0.0993, PriorBnd post/prior=2.92e-04/6.83e-05 | Best 0.0973 | Patience 34/40
