[log] tee initialized at 2025-12-09 16:05:50 -> temp_Bidi_cvae_11param_2channel\cvae_20251209-160550\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Bidi_cvae_11param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Bidi_cvae_11param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 030 | Train Total=6.6115 | Val post/prior Total=4.3007/4.4755, Recon post/prior=0.8580/0.8744, KL=0.6668, | CycSim post total/iv/gm=0.3102/0.1446/0.1656, | CycSim prior total/iv/gm=0.3589/0.1632/0.1956, | CycMeas total/iv/gm=0.2181/0.0933/0.1248, | train Physical Sim/Meas=0.0038/1.0807, | PriorBnd post/prior=4.24e-03/4.81e-03 | Best 0.1123 | Patience 16/100
 >> Epoch 031 | Train Total=6.6376 | Val post/prior Total=4.0581/3.8307, Recon post/prior=0.8542/0.8795, KL=0.6040, | CycSim post total/iv/gm=0.2895/0.1346/0.1549, | CycSim prior total/iv/gm=0.2939/0.1362/0.1578, | CycMeas total/iv/gm=0.1950/0.0827/0.1123, | train Physical Sim/Meas=0.0038/1.0861, | PriorBnd post/prior=3.88e-03/5.21e-03 | Best 0.1123 | Patience 17/100
 >> Epoch 032 | Train Total=6.2757 | Val post/prior Total=4.0490/4.3552, Recon post/prior=0.8671/0.8918, KL=0.4864, | CycSim post total/iv/gm=0.2931/0.1348/0.1582, | CycSim prior total/iv/gm=0.3451/0.1547/0.1904, | CycMeas total/iv/gm=0.1952/0.0848/0.1104, | train Physical Sim/Meas=0.0036/1.1096, | PriorBnd post/prior=2.51e-03/3.90e-03 | Best 0.1123 | Patience 18/100
 >> Epoch 033 | Train Total=5.7476 | Val post/prior Total=3.7824/4.0598, Recon post/prior=0.8825/0.9108, KL=0.5267, | CycSim post total/iv/gm=0.2628/0.1199/0.1429, | CycSim prior total/iv/gm=0.3133/0.1406/0.1728, | CycMeas total/iv/gm=0.3000/0.1202/0.1798, | train Physical Sim/Meas=0.0033/1.0380, | PriorBnd post/prior=5.75e-03/8.55e-03 | Best 0.1123 | Patience 19/100
 >> Epoch 034 | Train Total=5.6993 | Val post/prior Total=4.0994/4.0594, Recon post/prior=0.8632/0.8910, KL=0.5599, | CycSim post total/iv/gm=0.2949/0.1353/0.1596, | CycSim prior total/iv/gm=0.3157/0.1454/0.1702, | CycMeas total/iv/gm=0.1578/0.0711/0.0867, | train Physical Sim/Meas=0.0032/1.0238, | PriorBnd post/prior=4.15e-03/7.59e-03 | Best 0.1123 | Patience 20/100
 >> Epoch 035 | Train Total=6.6865 | Val post/prior Total=3.8929/3.7326, Recon post/prior=0.8513/0.8776, KL=0.6273, | CycSim post total/iv/gm=0.2722/0.1218/0.1504, | CycSim prior total/iv/gm=0.2845/0.1278/0.1567, | CycMeas total/iv/gm=0.1256/0.0559/0.0697, | train Physical Sim/Meas=0.0039/1.0356, | PriorBnd post/prior=2.63e-03/3.41e-03 | Best 0.1123 | Patience 21/100
 >> Epoch 036 | Train Total=6.5947 | Val post/prior Total=4.1082/4.0823, Recon post/prior=0.8697/0.8861, KL=0.4967, | CycSim post total/iv/gm=0.2983/0.1396/0.1587, | CycSim prior total/iv/gm=0.3182/0.1476/0.1706, | CycMeas total/iv/gm=0.2426/0.1013/0.1413, | train Physical Sim/Meas=0.0038/1.0368, | PriorBnd post/prior=4.61e-03/4.86e-03 | Best 0.1123 | Patience 22/100
 >> Epoch 037 | Train Total=6.4654 | Val post/prior Total=3.7451/3.4930, Recon post/prior=0.8583/0.8823, KL=0.4854, | CycSim post total/iv/gm=0.2638/0.1172/0.1466, | CycSim prior total/iv/gm=0.2600/0.1175/0.1426, | CycMeas total/iv/gm=0.1239/0.0603/0.0636, | train Physical Sim/Meas=0.0038/1.0282, | PriorBnd post/prior=3.26e-03/5.26e-03 | Best 0.1123 | Patience 23/100
 >> Epoch 038 | Train Total=6.5057 | Val post/prior Total=3.7833/3.9172, Recon post/prior=0.8338/0.8603, KL=0.4738, | CycSim post total/iv/gm=0.2706/0.1258/0.1448, | CycSim prior total/iv/gm=0.3045/0.1385/0.1660, | CycMeas total/iv/gm=0.1897/0.0811/0.1086, | train Physical Sim/Meas=0.0038/1.0089, | PriorBnd post/prior=3.05e-03/3.29e-03 | Best 0.1123 | Patience 24/100
 >> Epoch 039 | Train Total=6.4430 | Val post/prior Total=4.1171/4.4119, Recon post/prior=0.8361/0.8930, KL=0.6011, | CycSim post total/iv/gm=0.2974/0.1368/0.1606, | CycSim prior total/iv/gm=0.3504/0.1548/0.1956, | CycMeas total/iv/gm=0.2645/0.0960/0.1685, | train Physical Sim/Meas=0.0038/1.0449, | PriorBnd post/prior=1.82e-03/1.84e-03 | Best 0.1123 | Patience 25/100
