[log] tee initialized at 2025-11-28 16:51:10 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165110\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 023 | Train Total=7.1561 | Val post/prior Total=13.3817/11.8266, Recon post/prior=0.9187/0.9198, KL=1.9469, | CycSim post total/iv/gm=1.1482/0.4924/0.6558, | CycSim prior total/iv/gm=1.0895/0.4695/0.6199, | CycMeas total/iv/gm=0.3114/0.1289/0.1825, | PriorBnd post/prior=1.88e-03/2.02e-03 | Best 0.2532 | Patience 2/80
 >> Epoch 024 | Train Total=7.3042 | Val post/prior Total=13.7309/11.6741, Recon post/prior=0.9531/0.9556, KL=2.9657, | CycSim post total/iv/gm=1.1286/0.4840/0.6446, | CycSim prior total/iv/gm=1.0705/0.4613/0.6092, | CycMeas total/iv/gm=0.2829/0.1179/0.1650, | PriorBnd post/prior=2.28e-03/2.46e-03 | Best 0.2532 | Patience 3/80
 >> Epoch 025 | Train Total=7.3957 | Val post/prior Total=12.6257/10.6727, Recon post/prior=0.9321/0.9320, KL=2.2184, | CycSim post total/iv/gm=1.0577/0.4507/0.6070, | CycSim prior total/iv/gm=0.9730/0.4161/0.5569, | CycMeas total/iv/gm=0.1714/0.0626/0.1089, | PriorBnd post/prior=1.65e-03/1.70e-03 | Best 0.2532 | Patience 4/80
[Update] best val_cyc_meas improved to 0.171434 @ epoch 25
 >> Epoch 026 | Train Total=7.1400 | Val post/prior Total=12.6461/10.9139, Recon post/prior=0.9532/0.9538, KL=2.3000, | CycSim post total/iv/gm=1.0534/0.4553/0.5981, | CycSim prior total/iv/gm=0.9947/0.4314/0.5633, | CycMeas total/iv/gm=0.2565/0.1048/0.1517, | PriorBnd post/prior=2.92e-03/2.94e-03 | Best 0.1714 | Patience 1/80
 >> Epoch 027 | Train Total=7.1515 | Val post/prior Total=12.3206/10.0486, Recon post/prior=0.9496/0.9509, KL=2.6994, | CycSim post total/iv/gm=1.0013/0.4297/0.5715, | CycSim prior total/iv/gm=0.9083/0.3914/0.5169, | CycMeas total/iv/gm=0.3155/0.1288/0.1866, | PriorBnd post/prior=3.38e-03/3.41e-03 | Best 0.1714 | Patience 2/80
 >> Epoch 028 | Train Total=7.1331 | Val post/prior Total=12.5738/10.7455, Recon post/prior=0.9603/0.9621, KL=2.6191, | CycSim post total/iv/gm=1.0295/0.4424/0.5871, | CycSim prior total/iv/gm=0.9770/0.4210/0.5560, | CycMeas total/iv/gm=0.2285/0.0921/0.1364, | PriorBnd post/prior=3.21e-03/3.29e-03 | Best 0.1714 | Patience 3/80
 >> Epoch 029 | Train Total=7.1635 | Val post/prior Total=13.1367/10.7092, Recon post/prior=0.9509/0.9525, KL=3.2664, | CycSim post total/iv/gm=1.0544/0.4517/0.6027, | CycSim prior total/iv/gm=0.9744/0.4186/0.5558, | CycMeas total/iv/gm=0.2348/0.0960/0.1388, | PriorBnd post/prior=2.02e-03/1.99e-03 | Best 0.1714 | Patience 4/80
 >> Epoch 030 | Train Total=7.2475 | Val post/prior Total=13.4137/11.0579, Recon post/prior=0.9700/0.9708, KL=2.9853, | CycSim post total/iv/gm=1.0942/0.4744/0.6198, | CycSim prior total/iv/gm=1.0072/0.4382/0.5690, | CycMeas total/iv/gm=0.3103/0.1279/0.1825, | PriorBnd post/prior=3.72e-03/3.49e-03 | Best 0.1714 | Patience 5/80
 >> Epoch 031 | Train Total=7.2448 | Val post/prior Total=12.9274/10.3279, Recon post/prior=0.9392/0.9376, KL=3.0671, | CycSim post total/iv/gm=1.0447/0.4454/0.5993, | CycSim prior total/iv/gm=0.9377/0.4002/0.5375, | CycMeas total/iv/gm=0.2607/0.1081/0.1526, | PriorBnd post/prior=2.39e-03/2.06e-03 | Best 0.1714 | Patience 6/80
 >> Epoch 032 | Train Total=7.1507 | Val post/prior Total=12.8192/10.4504, Recon post/prior=0.9262/0.9233, KL=2.7900, | CycSim post total/iv/gm=1.0491/0.4464/0.6026, | CycSim prior total/iv/gm=0.9516/0.4054/0.5462, | CycMeas total/iv/gm=0.1624/0.0601/0.1023, | PriorBnd post/prior=1.64e-03/1.51e-03 | Best 0.1714 | Patience 7/80
[Update] best val_cyc_meas improved to 0.162400 @ epoch 32
 >> Epoch 033 | Train Total=7.1797 | Val post/prior Total=14.0743/11.2315, Recon post/prior=0.9707/0.9674, KL=2.8302, | CycSim post total/iv/gm=1.1679/0.5001/0.6678, | CycSim prior total/iv/gm=1.0248/0.4393/0.5855, | CycMeas total/iv/gm=0.3087/0.1311/0.1776, | PriorBnd post/prior=4.12e-03/3.56e-03 | Best 0.1624 | Patience 1/80
 >> Epoch 034 | Train Total=7.6965 | Val post/prior Total=14.9416/12.1062, Recon post/prior=0.9762/0.9714, KL=3.0427, | CycSim post total/iv/gm=1.2435/0.5326/0.7109, | CycSim prior total/iv/gm=1.1118/0.4769/0.6350, | CycMeas total/iv/gm=0.3206/0.1340/0.1865, | PriorBnd post/prior=4.87e-03/4.13e-03 | Best 0.1624 | Patience 2/80
 >> Epoch 035 | Train Total=7.8629 | Val post/prior Total=15.1601/12.9665, Recon post/prior=0.9762/0.9742, KL=2.8240, | CycSim post total/iv/gm=1.2763/0.5488/0.7275, | CycSim prior total/iv/gm=1.1977/0.5152/0.6825, | CycMeas total/iv/gm=0.2665/0.1055/0.1610, | PriorBnd post/prior=4.24e-03/3.74e-03 | Best 0.1624 | Patience 3/80
 >> Epoch 036 | Train Total=7.6108 | Val post/prior Total=16.9296/13.8511, Recon post/prior=0.9791/0.9716, KL=3.0019, | CycSim post total/iv/gm=1.4440/0.6199/0.8241, | CycSim prior total/iv/gm=1.2866/0.5537/0.7330, | CycMeas total/iv/gm=0.1743/0.0653/0.1089, | PriorBnd post/prior=3.60e-03/2.80e-03 | Best 0.1624 | Patience 4/80
 >> Epoch 037 | Train Total=7.6483 | Val post/prior Total=15.7384/13.5798, Recon post/prior=0.9912/0.9882, KL=2.2210, | CycSim post total/iv/gm=1.3627/0.5918/0.7709, | CycSim prior total/iv/gm=1.2576/0.5467/0.7109, | CycMeas total/iv/gm=0.2511/0.1001/0.1511, | PriorBnd post/prior=4.73e-03/4.34e-03 | Best 0.1624 | Patience 5/80
 >> Epoch 038 | Train Total=8.2671 | Val post/prior Total=16.3148/13.9435, Recon post/prior=1.0290/1.0276, KL=2.5961, | CycSim post total/iv/gm=1.3977/0.6037/0.7940, | CycSim prior total/iv/gm=1.2899/0.5581/0.7318, | CycMeas total/iv/gm=0.2167/0.0834/0.1332, | PriorBnd post/prior=5.59e-03/5.09e-03 | Best 0.1624 | Patience 6/80
 >> Epoch 039 | Train Total=8.2406 | Val post/prior Total=14.0179/11.8427, Recon post/prior=0.9880/0.9868, KL=2.5766, | CycSim post total/iv/gm=1.1732/0.5035/0.6697, | CycSim prior total/iv/gm=1.0841/0.4658/0.6183, | CycMeas total/iv/gm=0.2286/0.0899/0.1387, | PriorBnd post/prior=3.38e-03/2.88e-03 | Best 0.1624 | Patience 7/80
 >> Epoch 040 | Train Total=8.2646 | Val post/prior Total=12.0608/10.4172, Recon post/prior=0.9827/0.9854, KL=2.3253, | CycSim post total/iv/gm=0.9906/0.4206/0.5700, | CycSim prior total/iv/gm=0.9415/0.4000/0.5415, | CycMeas total/iv/gm=0.2883/0.1161/0.1722, | PriorBnd post/prior=2.37e-03/2.04e-03 | Best 0.1624 | Patience 8/80
 >> Epoch 041 | Train Total=7.8864 | Val post/prior Total=12.9230/11.1897, Recon post/prior=0.9984/1.0053, KL=2.2726, | CycSim post total/iv/gm=1.0778/0.4701/0.6077, | CycSim prior total/iv/gm=1.0168/0.4443/0.5725, | CycMeas total/iv/gm=0.2357/0.0933/0.1424, | PriorBnd post/prior=4.63e-03/4.44e-03 | Best 0.1624 | Patience 9/80
