[log] tee initialized at 2025-11-05 03:24:28 -> temp_Bidi_cvae\session_20251105-032428.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-05 03:24:31 -> temp_Bidi_cvae\cvae_20251105-032431\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 037 | Train Total=0.6209 | Val post/prior Total=0.7009/0.7449, Recon post/prior=0.6141/0.6094, KL=0.0362, CycSim post/prior=0.0662/0.0433, CycMeas=0.0997, PriorBnd post/prior=2.77e-04/9.94e-05 | Best 0.0991 | Patience 17/40
 >> Epoch 038 | Train Total=0.6201 | Val post/prior Total=0.6934/0.7398, Recon post/prior=0.6123/0.6080, KL=0.0315, CycSim post/prior=0.0619/0.0398, CycMeas=0.1004, PriorBnd post/prior=1.18e-04/9.72e-05 | Best 0.0991 | Patience 18/40
 >> Epoch 039 | Train Total=0.6191 | Val post/prior Total=0.6948/0.7441, Recon post/prior=0.6110/0.6062, KL=0.0356, CycSim post/prior=0.0637/0.0421, CycMeas=0.1046, PriorBnd post/prior=3.44e-04/9.72e-05 | Best 0.0991 | Patience 19/40
 >> Epoch 040 | Train Total=0.6184 | Val post/prior Total=0.6956/0.7434, Recon post/prior=0.6128/0.6090, KL=0.0298, CycSim post/prior=0.0636/0.0426, CycMeas=0.0996, PriorBnd post/prior=1.41e-04/8.21e-05 | Best 0.0991 | Patience 20/40
 >> Epoch 041 | Train Total=0.6188 | Val post/prior Total=0.6961/0.7408, Recon post/prior=0.6096/0.6057, KL=0.0320, CycSim post/prior=0.0663/0.0413, CycMeas=0.1021, PriorBnd post/prior=2.31e-04/9.06e-05 | Best 0.0991 | Patience 21/40
 >> Epoch 042 | Train Total=0.6188 | Val post/prior Total=0.6919/0.7405, Recon post/prior=0.6100/0.6058, KL=0.0306, CycSim post/prior=0.0627/0.0427, CycMeas=0.0997, PriorBnd post/prior=2.38e-04/9.08e-05 | Best 0.0991 | Patience 22/40
 >> Epoch 043 | Train Total=0.6185 | Val post/prior Total=0.6872/0.7369, Recon post/prior=0.6084/0.6048, KL=0.0287, CycSim post/prior=0.0602/0.0390, CycMeas=0.1019, PriorBnd post/prior=1.59e-04/8.71e-05 | Best 0.0991 | Patience 23/40
 >> Epoch 044 | Train Total=0.6191 | Val post/prior Total=0.6935/0.7436, Recon post/prior=0.6119/0.6081, KL=0.0259, CycSim post/prior=0.0629/0.0441, CycMeas=0.0986, PriorBnd post/prior=1.38e-04/9.03e-05 | Best 0.0991 | Patience 24/40
[Update] best val_cyc_meas improved to 0.098634 @ epoch 44
 >> Epoch 045 | Train Total=0.6185 | Val post/prior Total=0.6869/0.7337, Recon post/prior=0.6063/0.6023, KL=0.0309, CycSim post/prior=0.0614/0.0398, CycMeas=0.0997, PriorBnd post/prior=1.52e-04/9.81e-05 | Best 0.0986 | Patience 1/40
 >> Epoch 046 | Train Total=0.6186 | Val post/prior Total=0.6814/0.7346, Recon post/prior=0.6052/0.6014, KL=0.0289, CycSim post/prior=0.0579/0.0398, CycMeas=0.1020, PriorBnd post/prior=2.48e-04/9.27e-05 | Best 0.0986 | Patience 2/40
 >> Epoch 047 | Train Total=0.6168 | Val post/prior Total=0.6812/0.7314, Recon post/prior=0.6049/0.6007, KL=0.0291, CycSim post/prior=0.0580/0.0394, CycMeas=0.0994, PriorBnd post/prior=2.45e-04/9.13e-05 | Best 0.0986 | Patience 3/40
 >> Epoch 048 | Train Total=0.6187 | Val post/prior Total=0.6860/0.7317, Recon post/prior=0.6046/0.6001, KL=0.0287, CycSim post/prior=0.0624/0.0404, CycMeas=0.0992, PriorBnd post/prior=1.04e-04/8.83e-05 | Best 0.0986 | Patience 4/40
 >> Epoch 049 | Train Total=0.6174 | Val post/prior Total=0.6859/0.7307, Recon post/prior=0.6032/0.5987, KL=0.0271, CycSim post/prior=0.0635/0.0409, CycMeas=0.0989, PriorBnd post/prior=2.05e-04/1.05e-04 | Best 0.0986 | Patience 5/40
 >> Epoch 050 | Train Total=0.6186 | Val post/prior Total=0.6951/0.7508, Recon post/prior=0.6103/0.6074, KL=0.0239, CycSim post/prior=0.0656/0.0486, CycMeas=0.1019, PriorBnd post/prior=2.90e-04/8.08e-05 | Best 0.0986 | Patience 6/40
 >> Epoch 051 | Train Total=0.6203 | Val post/prior Total=0.6854/0.7333, Recon post/prior=0.6028/0.5989, KL=0.0284, CycSim post/prior=0.0634/0.0419, CycMeas=0.1004, PriorBnd post/prior=1.73e-04/1.00e-04 | Best 0.0986 | Patience 7/40
 >> Epoch 052 | Train Total=0.6193 | Val post/prior Total=0.6803/0.7265, Recon post/prior=0.6006/0.5957, KL=0.0288, CycSim post/prior=0.0609/0.0385, CycMeas=0.1008, PriorBnd post/prior=1.67e-04/1.07e-04 | Best 0.0986 | Patience 8/40
 >> Epoch 053 | Train Total=0.6191 | Val post/prior Total=0.6779/0.7226, Recon post/prior=0.5993/0.5950, KL=0.0279, CycSim post/prior=0.0600/0.0378, CycMeas=0.0979, PriorBnd post/prior=1.51e-04/1.10e-04 | Best 0.0986 | Patience 9/40
[Update] best val_cyc_meas improved to 0.097948 @ epoch 53
 >> Epoch 054 | Train Total=0.6199 | Val post/prior Total=0.6769/0.7263, Recon post/prior=0.5987/0.5943, KL=0.0272, CycSim post/prior=0.0597/0.0369, CycMeas=0.1046, PriorBnd post/prior=1.57e-04/1.06e-04 | Best 0.0979 | Patience 1/40
