domain,sup_ps,prior_l2_ps,prior_bnd_ps,cyc_sim_ps,knn_min,knn_mean_k,jac_sigma_max
sim,0.816469132900238,0.6223905682563782,0.6277172565460205,0.0762338116765022,1.006787657737732,1.3950166702270508,
sim,0.8115359544754028,0.6319602727890015,0.6276734471321106,0.1247536391019821,1.0259419679641724,1.3592839241027832,
sim,0.8162694573402405,0.6230626702308655,0.6275940537452698,0.0811106860637664,0.9485302567481996,1.4114443063735962,
sim,0.8512434959411621,0.6442317366600037,0.6274795532226562,0.0888358727097511,1.112532138824463,1.4058071374893188,
sim,0.7080748677253723,0.6195032000541687,0.6274126768112183,0.104683056473732,1.012165904045105,1.3920350074768066,
sim,0.6964345574378967,0.6249326467514038,0.6273856163024902,0.1032968014478683,0.9219706654548644,1.417638063430786,
sim,0.6973627209663391,0.6175029277801514,0.6273192167282104,0.090868592262268,0.9846210479736328,1.4000656604766846,
sim,0.7973101735115051,0.6381896734237671,0.6272990107536316,0.1461616456508636,1.1422934532165527,1.3906633853912354,
sim,0.6536361575126648,0.6197609901428223,0.6271603107452393,0.0676991418004036,1.1729567050933838,1.3605461120605469,
sim,0.7049197554588318,0.6410421133041382,0.6271390318870544,0.039831344038248,1.0481886863708496,1.402008295059204,
sim,0.6361082196235657,0.6460579037666321,0.6271355152130127,0.0498350597918033,1.0670868158340454,1.4260385036468506,
sim,0.9508935213088988,0.6611230373382568,0.6270955801010132,0.1126108691096305,1.2651456594467163,1.4239683151245115,
sim,0.6636072993278503,0.6043720245361328,0.6270845532417297,0.0754242837429046,1.0440263748168943,1.3837380409240725,
sim,0.4311767220497131,0.6091762185096741,0.6270607709884644,0.0684237852692604,1.1052600145339966,1.3662497997283936,
sim,0.6913358569145203,0.6279179453849792,0.6269519329071045,0.1006921455264091,0.8487021923065186,1.431799054145813,
sim,0.4393553435802459,0.6123515367507935,0.6269469261169434,0.0656017139554023,1.1405397653579712,1.3317632675170898,
sim,0.871935248374939,0.6126006245613098,0.6268919706344604,0.1045855358242988,1.2231618165969849,1.422048568725586,
