[log] tee initialized at 2025-11-30 17:56:35 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/session_20251130-175635.log
Using CUDA device 0: NVIDIA A100-SXM4-40GB
[log] tee initialized at 2025-11-30 17:56:43 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/cvae_20251130-175643/train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger
[L_trust] using 20000 ref rows from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger/proxy_Ytr_norm.npy
/usr/local/lib/python3.12/dist-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 032 | Train Total=4.9633 | Val post/prior Total=14.5877/12.0291, Recon post/prior=0.9226/0.9280, KL=2.7600, | CycSim post total/iv/gm=1.2277/0.5278/0.6999, | CycSim prior total/iv/gm=1.1088/0.4790/0.6299, | CycMeas total/iv/gm=0.2241/0.0915/0.1326, | PriorBnd post/prior=1.64e-03/1.81e-03 | Best 0.1209 | Patience 10/100
 >> Epoch 033 | Train Total=4.9472 | Val post/prior Total=16.2299/14.1371, Recon post/prior=0.8977/0.9018, KL=1.7335, | CycSim post total/iv/gm=1.4459/0.6124/0.8335, | CycSim prior total/iv/gm=1.3224/0.5604/0.7620, | CycMeas total/iv/gm=0.2223/0.0966/0.1256, | PriorBnd post/prior=8.24e-04/8.10e-04 | Best 0.1209 | Patience 11/100
 >> Epoch 034 | Train Total=4.9147 | Val post/prior Total=17.9150/15.4325, Recon post/prior=0.9648/0.9731, KL=2.5417, | CycSim post total/iv/gm=1.5670/0.6683/0.8988, | CycSim prior total/iv/gm=1.4445/0.6175/0.8269, | CycMeas total/iv/gm=0.2337/0.0980/0.1356, | PriorBnd post/prior=3.12e-03/3.33e-03 | Best 0.1209 | Patience 12/100
 >> Epoch 035 | Train Total=4.8500 | Val post/prior Total=24.1204/22.4716, Recon post/prior=0.9155/0.9225, KL=1.0799, | CycSim post total/iv/gm=2.2658/0.9549/1.3110, | CycSim prior total/iv/gm=2.1538/0.9074/1.2463, | CycMeas total/iv/gm=0.1793/0.0765/0.1028, | PriorBnd post/prior=1.29e-03/1.35e-03 | Best 0.1209 | Patience 13/100
 >> Epoch 036 | Train Total=4.9735 | Val post/prior Total=20.9884/17.2532, Recon post/prior=0.9976/1.0114, KL=2.6394, | CycSim post total/iv/gm=1.8661/0.7928/1.0733, | CycSim prior total/iv/gm=1.6227/0.6924/0.9303, | CycMeas total/iv/gm=0.1833/0.0755/0.1077, | PriorBnd post/prior=5.90e-03/6.86e-03 | Best 0.1209 | Patience 14/100
 >> Epoch 037 | Train Total=4.9001 | Val post/prior Total=22.2883/19.5799, Recon post/prior=0.9561/0.9668, KL=1.6674, | CycSim post total/iv/gm=2.0490/0.8643/1.1847, | CycSim prior total/iv/gm=1.8599/0.7862/1.0737, | CycMeas total/iv/gm=0.2048/0.0817/0.1232, | PriorBnd post/prior=3.27e-03/3.62e-03 | Best 0.1209 | Patience 15/100
 >> Epoch 038 | Train Total=5.0560 | Val post/prior Total=23.0041/20.1136, Recon post/prior=0.9315/0.9399, KL=1.6568, | CycSim post total/iv/gm=2.1237/0.8870/1.2367, | CycSim prior total/iv/gm=1.9162/0.8010/1.1152, | CycMeas total/iv/gm=0.1681/0.0639/0.1042, | PriorBnd post/prior=2.14e-03/2.23e-03 | Best 0.1209 | Patience 16/100
 >> Epoch 039 | Train Total=5.0199 | Val post/prior Total=15.9921/14.1684, Recon post/prior=0.9219/0.9306, KL=1.3846, | CycSim post total/iv/gm=1.4370/0.6092/0.8278, | CycSim prior total/iv/gm=1.3222/0.5615/0.7607, | CycMeas total/iv/gm=0.2976/0.1269/0.1706, | PriorBnd post/prior=2.66e-03/2.74e-03 | Best 0.1209 | Patience 17/100
 >> Epoch 040 | Train Total=4.8468 | Val post/prior Total=18.4594/15.9792, Recon post/prior=0.9530/0.9637, KL=1.4368, | CycSim post total/iv/gm=1.6779/0.7230/0.9549, | CycSim prior total/iv/gm=1.4998/0.6484/0.8514, | CycMeas total/iv/gm=0.3112/0.1317/0.1794, | PriorBnd post/prior=4.10e-03/4.33e-03 | Best 0.1209 | Patience 18/100
 >> Epoch 041 | Train Total=4.9923 | Val post/prior Total=16.2708/13.8425, Recon post/prior=0.9482/0.9587, KL=1.9827, | CycSim post total/iv/gm=1.4323/0.6032/0.8291, | CycSim prior total/iv/gm=1.2868/0.5439/0.7430, | CycMeas total/iv/gm=0.2314/0.0938/0.1376, | PriorBnd post/prior=3.25e-03/3.57e-03 | Best 0.1209 | Patience 19/100
 >> Epoch 042 | Train Total=4.9635 | Val post/prior Total=21.4982/19.6150, Recon post/prior=0.9144/0.9260, KL=1.0881, | CycSim post total/iv/gm=2.0033/0.8484/1.1548, | CycSim prior total/iv/gm=1.8675/0.7913/1.0762, | CycMeas total/iv/gm=0.2291/0.0924/0.1367, | PriorBnd post/prior=2.27e-03/2.47e-03 | Best 0.1209 | Patience 20/100
 >> Epoch 043 | Train Total=4.9109 | Val post/prior Total=18.4840/16.3746, Recon post/prior=0.9085/0.9192, KL=1.2896, | CycSim post total/iv/gm=1.6924/0.7138/0.9786, | CycSim prior total/iv/gm=1.5443/0.6522/0.8921, | CycMeas total/iv/gm=0.1796/0.0685/0.1111, | PriorBnd post/prior=1.30e-03/1.45e-03 | Best 0.1209 | Patience 21/100
 >> Epoch 044 | Train Total=4.9012 | Val post/prior Total=17.8992/16.4527, Recon post/prior=0.9406/0.9559, KL=0.9811, | CycSim post total/iv/gm=1.6460/0.7046/0.9414, | CycSim prior total/iv/gm=1.5481/0.6637/0.8844, | CycMeas total/iv/gm=0.2358/0.0972/0.1386, | PriorBnd post/prior=3.69e-03/4.15e-03 | Best 0.1209 | Patience 22/100
 >> Epoch 045 | Train Total=4.9753 | Val post/prior Total=17.0473/15.7182, Recon post/prior=0.9122/0.9230, KL=0.8242, | CycSim post total/iv/gm=1.5716/0.6686/0.9029, | CycSim prior total/iv/gm=1.4780/0.6294/0.8486, | CycMeas total/iv/gm=0.2473/0.1019/0.1455, | PriorBnd post/prior=1.79e-03/1.96e-03 | Best 0.1209 | Patience 23/100
 >> Epoch 046 | Train Total=4.8311 | Val post/prior Total=21.6693/19.6394, Recon post/prior=0.9373/0.9475, KL=0.9225, | CycSim post total/iv/gm=2.0263/0.8530/1.1732, | CycSim prior total/iv/gm=1.8678/0.7857/1.0821, | CycMeas total/iv/gm=0.1746/0.0676/0.1070, | PriorBnd post/prior=5.78e-03/5.96e-03 | Best 0.1209 | Patience 24/100
