[log] tee initialized at 2025-11-28 16:50:23 -> temp_Unidi_cvae_14param_2channel\session_20251128-165023.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 16:50:27 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165027\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 026 | Train Total=5.3590 | Val post/prior Total=12.4929/11.5909, Recon post/prior=0.9468/0.9484, KL=1.5112, | CycSim post total/iv/gm=1.0782/0.4644/0.6138, | CycSim prior total/iv/gm=1.0630/0.4584/0.6047, | CycMeas total/iv/gm=0.2278/0.0949/0.1330, | PriorBnd post/prior=1.09e-03/1.16e-03 | Best 0.1939 | Patience 2/80
 >> Epoch 027 | Train Total=5.6774 | Val post/prior Total=11.5079/10.6161, Recon post/prior=0.9264/0.9281, KL=1.5579, | CycSim post total/iv/gm=0.9795/0.4193/0.5602, | CycSim prior total/iv/gm=0.9676/0.4142/0.5534, | CycMeas total/iv/gm=0.2415/0.0998/0.1417, | PriorBnd post/prior=6.57e-04/6.84e-04 | Best 0.1939 | Patience 3/80
 >> Epoch 028 | Train Total=5.5529 | Val post/prior Total=11.4856/10.4637, Recon post/prior=0.9513/0.9537, KL=1.7771, | CycSim post total/iv/gm=0.9637/0.4172/0.5465, | CycSim prior total/iv/gm=0.9497/0.4117/0.5380, | CycMeas total/iv/gm=0.2430/0.1017/0.1413, | PriorBnd post/prior=1.61e-03/1.53e-03 | Best 0.1939 | Patience 4/80
 >> Epoch 029 | Train Total=5.8157 | Val post/prior Total=12.1136/11.1640, Recon post/prior=0.9460/0.9486, KL=1.4903, | CycSim post total/iv/gm=1.0414/0.4441/0.5973, | CycSim prior total/iv/gm=1.0202/0.4350/0.5851, | CycMeas total/iv/gm=0.2790/0.1172/0.1618, | PriorBnd post/prior=1.84e-03/1.54e-03 | Best 0.1939 | Patience 5/80
 >> Epoch 030 | Train Total=6.1076 | Val post/prior Total=10.2962/9.4456, Recon post/prior=0.9182/0.9209, KL=1.2090, | CycSim post total/iv/gm=0.8766/0.3751/0.5015, | CycSim prior total/iv/gm=0.8513/0.3644/0.4869, | CycMeas total/iv/gm=0.2269/0.0952/0.1317, | PriorBnd post/prior=4.59e-04/4.67e-04 | Best 0.1939 | Patience 6/80
 >> Epoch 031 | Train Total=5.6255 | Val post/prior Total=8.9301/7.9353, Recon post/prior=0.9404/0.9466, KL=1.8195, | CycSim post total/iv/gm=0.7072/0.3052/0.4020, | CycSim prior total/iv/gm=0.6974/0.2999/0.3974, | CycMeas total/iv/gm=0.3228/0.1365/0.1864, | PriorBnd post/prior=9.85e-04/9.04e-04 | Best 0.1939 | Patience 7/80
 >> Epoch 032 | Train Total=5.9590 | Val post/prior Total=11.6252/10.6798, Recon post/prior=0.9689/0.9763, KL=1.7563, | CycSim post total/iv/gm=0.9769/0.4138/0.5631, | CycSim prior total/iv/gm=0.9689/0.4089/0.5600, | CycMeas total/iv/gm=0.2445/0.0984/0.1461, | PriorBnd post/prior=1.18e-03/1.11e-03 | Best 0.1939 | Patience 8/80
 >> Epoch 033 | Train Total=5.9583 | Val post/prior Total=11.8067/10.8179, Recon post/prior=0.9976/1.0061, KL=1.8364, | CycSim post total/iv/gm=0.9881/0.4247/0.5634, | CycSim prior total/iv/gm=0.9795/0.4192/0.5602, | CycMeas total/iv/gm=0.3152/0.1313/0.1839, | PriorBnd post/prior=3.17e-03/2.99e-03 | Best 0.1939 | Patience 9/80
 >> Epoch 034 | Train Total=6.0434 | Val post/prior Total=11.3160/10.2735, Recon post/prior=0.9788/0.9854, KL=1.9395, | CycSim post total/iv/gm=0.9358/0.4030/0.5328, | CycSim prior total/iv/gm=0.9269/0.3982/0.5287, | CycMeas total/iv/gm=0.4165/0.1823/0.2342, | PriorBnd post/prior=2.19e-03/2.22e-03 | Best 0.1939 | Patience 10/80
 >> Epoch 035 | Train Total=6.3647 | Val post/prior Total=13.2282/12.3213, Recon post/prior=0.9530/0.9574, KL=1.4361, | CycSim post total/iv/gm=1.1549/0.4990/0.6559, | CycSim prior total/iv/gm=1.1350/0.4910/0.6440, | CycMeas total/iv/gm=0.2389/0.0953/0.1436, | PriorBnd post/prior=9.39e-04/1.01e-03 | Best 0.1939 | Patience 11/80
 >> Epoch 036 | Train Total=5.8973 | Val post/prior Total=11.4062/10.4168, Recon post/prior=0.9696/0.9788, KL=1.8069, | CycSim post total/iv/gm=0.9524/0.4074/0.5450, | CycSim prior total/iv/gm=0.9421/0.4020/0.5402, | CycMeas total/iv/gm=0.3104/0.1307/0.1796, | PriorBnd post/prior=1.42e-03/1.48e-03 | Best 0.1939 | Patience 12/80
 >> Epoch 037 | Train Total=5.7460 | Val post/prior Total=11.2740/10.5648, Recon post/prior=0.9788/0.9894, KL=1.3323, | CycSim post total/iv/gm=0.9620/0.4109/0.5511, | CycSim prior total/iv/gm=0.9559/0.4072/0.5487, | CycMeas total/iv/gm=0.2717/0.1107/0.1610, | PriorBnd post/prior=2.09e-03/2.18e-03 | Best 0.1939 | Patience 13/80
 >> Epoch 038 | Train Total=5.8574 | Val post/prior Total=11.6593/11.0306, Recon post/prior=0.9482/0.9561, KL=0.9937, | CycSim post total/iv/gm=1.0206/0.4385/0.5821, | CycSim prior total/iv/gm=1.0060/0.4323/0.5738, | CycMeas total/iv/gm=0.2193/0.0866/0.1328, | PriorBnd post/prior=1.02e-03/1.08e-03 | Best 0.1939 | Patience 14/80
