[log] tee initialized at 2025-11-06 13:02:22 -> temp_Bidi_cvae\session_20251106-130222.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-06 13:02:27 -> temp_Bidi_cvae\cvae_20251106-130227\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae/proxy\proxy_Ytr_norm.npy
 >> Epoch 077 | Train Total=0.6903 | Val post/prior Total=0.7187/0.7759, Recon post/prior=0.6149/0.6124, KL=0.0377, CycSim post/prior=0.0807/0.0665, CycMeas=0.1006, PriorBnd post/prior=9.19e-05/7.11e-05 | Best 0.0978 | Patience 15/40
 >> Epoch 078 | Train Total=0.6904 | Val post/prior Total=0.6895/0.7472, Recon post/prior=0.6028/0.6007, KL=0.0282, CycSim post/prior=0.0670/0.0528, CycMeas=0.0996, PriorBnd post/prior=9.43e-05/7.17e-05 | Best 0.0978 | Patience 16/40
 >> Epoch 079 | Train Total=0.6926 | Val post/prior Total=0.6665/0.7182, Recon post/prior=0.5897/0.5863, KL=0.0223, CycSim post/prior=0.0590/0.0412, CycMeas=0.0982, PriorBnd post/prior=1.25e-04/9.73e-05 | Best 0.0978 | Patience 17/40
 >> Epoch 080 | Train Total=0.6940 | Val post/prior Total=0.6646/0.7120, Recon post/prior=0.5875/0.5836, KL=0.0241, CycSim post/prior=0.0590/0.0375, CycMeas=0.0992, PriorBnd post/prior=1.41e-04/1.11e-04 | Best 0.0978 | Patience 18/40
 >> Epoch 081 | Train Total=0.6947 | Val post/prior Total=0.6649/0.7119, Recon post/prior=0.5872/0.5819, KL=0.0267, CycSim post/prior=0.0591/0.0369, CycMeas=0.1020, PriorBnd post/prior=3.33e-04/1.17e-04 | Best 0.0978 | Patience 19/40
 >> Epoch 082 | Train Total=0.6936 | Val post/prior Total=0.7393/0.8051, Recon post/prior=0.6280/0.6269, KL=0.0479, CycSim post/prior=0.0863/0.0745, CycMeas=0.1072, PriorBnd post/prior=7.03e-05/7.06e-05 | Best 0.0978 | Patience 20/40
 >> Epoch 083 | Train Total=0.6956 | Val post/prior Total=0.6753/0.7332, Recon post/prior=0.5945/0.5911, KL=0.0211, CycSim post/prior=0.0626/0.0473, CycMeas=0.1020, PriorBnd post/prior=1.05e-04/8.23e-05 | Best 0.0978 | Patience 21/40
 >> Epoch 084 | Train Total=0.6956 | Val post/prior Total=0.6614/0.7130, Recon post/prior=0.5884/0.5843, KL=0.0240, CycSim post/prior=0.0556/0.0385, CycMeas=0.0981, PriorBnd post/prior=1.51e-04/1.04e-04 | Best 0.0978 | Patience 22/40
 >> Epoch 085 | Train Total=0.6979 | Val post/prior Total=0.6631/0.7136, Recon post/prior=0.5870/0.5829, KL=0.0252, CycSim post/prior=0.0581/0.0384, CycMeas=0.1008, PriorBnd post/prior=1.66e-04/1.07e-04 | Best 0.0978 | Patience 23/40
 >> Epoch 086 | Train Total=0.6970 | Val post/prior Total=0.6636/0.7104, Recon post/prior=0.5877/0.5830, KL=0.0239, CycSim post/prior=0.0580/0.0370, CycMeas=0.0987, PriorBnd post/prior=2.82e-04/1.04e-04 | Best 0.0978 | Patience 24/40
 >> Epoch 087 | Train Total=0.6980 | Val post/prior Total=0.6650/0.7114, Recon post/prior=0.5870/0.5821, KL=0.0240, CycSim post/prior=0.0598/0.0388, CycMeas=0.0984, PriorBnd post/prior=1.58e-04/1.09e-04 | Best 0.0978 | Patience 25/40
 >> Epoch 088 | Train Total=0.6995 | Val post/prior Total=0.6689/0.7108, Recon post/prior=0.5861/0.5812, KL=0.0257, CycSim post/prior=0.0635/0.0379, CycMeas=0.1000, PriorBnd post/prior=2.06e-04/1.27e-04 | Best 0.0978 | Patience 26/40
 >> Epoch 089 | Train Total=0.7001 | Val post/prior Total=0.6712/0.7230, Recon post/prior=0.5918/0.5882, KL=0.0240, CycSim post/prior=0.0611/0.0427, CycMeas=0.0997, PriorBnd post/prior=1.64e-04/1.04e-04 | Best 0.0978 | Patience 27/40
 >> Epoch 090 | Train Total=0.7012 | Val post/prior Total=0.6629/0.7114, Recon post/prior=0.5875/0.5835, KL=0.0238, CycSim post/prior=0.0576/0.0379, CycMeas=0.0979, PriorBnd post/prior=1.03e-04/1.06e-04 | Best 0.0978 | Patience 28/40
 >> Epoch 091 | Train Total=0.7008 | Val post/prior Total=0.6927/0.7520, Recon post/prior=0.6011/0.5990, KL=0.0219, CycSim post/prior=0.0716/0.0585, CycMeas=0.0990, PriorBnd post/prior=1.03e-04/6.70e-05 | Best 0.0978 | Patience 29/40
 >> Epoch 092 | Train Total=0.7013 | Val post/prior Total=0.6698/0.7207, Recon post/prior=0.5883/0.5852, KL=0.0263, CycSim post/prior=0.0625/0.0409, CycMeas=0.1031, PriorBnd post/prior=1.47e-04/1.11e-04 | Best 0.0978 | Patience 30/40
 >> Epoch 093 | Train Total=0.7026 | Val post/prior Total=0.6634/0.7101, Recon post/prior=0.5878/0.5833, KL=0.0250, CycSim post/prior=0.0577/0.0368, CycMeas=0.0983, PriorBnd post/prior=1.52e-04/1.09e-04 | Best 0.0978 | Patience 31/40
